    721    14   256     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1 2p           1 radial matrix data

        binding energy =  755.851 eV

            k     R(li+1)    phase(li+1)     R(li-1)    phase(li-1)
      15.2500    0.23233E-01      2.4635    0.61135E-02     -0.9860
      15.3000    0.23093E-01      2.4622    0.60904E-02     -0.9919
      15.3500    0.22952E-01      2.4608    0.60671E-02     -0.9978
      15.4000    0.22811E-01      2.4594    0.60435E-02     -1.0037
      15.4500    0.22671E-01      2.4579    0.60198E-02     -1.0096
      15.5000    0.22530E-01      2.4564    0.59959E-02     -1.0154
      15.5500    0.22391E-01      2.4548    0.59717E-02     -1.0212
      15.6000    0.22251E-01      2.4531    0.59474E-02     -1.0270
      15.6500    0.22112E-01      2.4514    0.59229E-02     -1.0328
      15.7000    0.21974E-01      2.4497    0.58981E-02     -1.0385
      15.7500    0.21836E-01      2.4478    0.58732E-02     -1.0443
      15.8000    0.21699E-01      2.4460    0.58482E-02     -1.0500
      15.8500    0.21562E-01      2.4440    0.58229E-02     -1.0557
      15.9000    0.21427E-01      2.4420    0.57975E-02     -1.0614
      15.9500    0.21292E-01      2.4400    0.57719E-02     -1.0671
      16.0000    0.21158E-01      2.4379    0.57462E-02     -1.0728
      16.0500    0.21026E-01      2.4357    0.57204E-02     -1.0785
      16.1000    0.20894E-01      2.4335    0.56944E-02     -1.0842
      16.1500    0.20763E-01      2.4313    0.56683E-02     -1.0899
      16.2000    0.20634E-01      2.4289    0.56421E-02     -1.0956
      16.2500    0.20506E-01      2.4266    0.56158E-02     -1.1013
      16.3000    0.20379E-01      2.4242    0.55894E-02     -1.1070
      16.3500    0.20253E-01      2.4217    0.55630E-02     -1.1127
      16.4000    0.20128E-01      2.4192    0.55364E-02     -1.1185
      16.4500    0.20005E-01      2.4167    0.55098E-02     -1.1242
      16.5000    0.19883E-01      2.4141    0.54831E-02     -1.1299
      16.5500    0.19763E-01      2.4115    0.54564E-02     -1.1357
      16.6000    0.19644E-01      2.4089    0.54297E-02     -1.1414
      16.6500    0.19526E-01      2.4062    0.54030E-02     -1.1472
      16.7000    0.19409E-01      2.4035    0.53762E-02     -1.1530
      16.7500    0.19294E-01      2.4007    0.53494E-02     -1.1588
      16.8000    0.19181E-01      2.3979    0.53227E-02     -1.1646
      16.8500    0.19069E-01      2.3952    0.52960E-02     -1.1705
      16.9000    0.18958E-01      2.3923    0.52693E-02     -1.1763
      16.9500    0.18849E-01      2.3895    0.52426E-02     -1.1822
      17.0000    0.18741E-01      2.3866    0.52160E-02     -1.1881
      17.0500    0.18635E-01      2.3838    0.51894E-02     -1.1940
      17.1000    0.18530E-01      2.3809    0.51630E-02     -1.1999
      17.1500    0.18426E-01      2.3780    0.51366E-02     -1.2059
      17.2000    0.18324E-01      2.3751    0.51103E-02     -1.2119
      17.2500    0.18223E-01      2.3722    0.50840E-02     -1.2179
      17.3000    0.18124E-01      2.3693    0.50579E-02     -1.2239
      17.3500    0.18026E-01      2.3664    0.50319E-02     -1.2299
      17.4000    0.17929E-01      2.3635    0.50061E-02     -1.2359
      17.4500    0.17834E-01      2.3605    0.49803E-02     -1.2420
      17.5000    0.17740E-01      2.3576    0.49547E-02     -1.2481
      17.5500    0.17648E-01      2.3548    0.49293E-02     -1.2542
      17.6000    0.17556E-01      2.3519    0.49039E-02     -1.2603
      17.6500    0.17466E-01      2.3490    0.48788E-02     -1.2665
      17.7000    0.17377E-01      2.3462    0.48538E-02     -1.2726
      17.7500    0.17289E-01      2.3433    0.48290E-02     -1.2788
