    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

        Ag              Silver phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)  p(l=10)  p(l=11)  p(l=12)  p(l=13)  p(l=14)  p(l=15)  p(l=16)  p(l=17)  p(l=18)  p(l=19)
        20              lnum
    8.7000   3.0409   1.1135  -1.1024   2.9068   1.5474   0.8984   0.6117   0.4120   0.3012   0.2478   0.1755   0.0923   0.0364   0.0113   0.0029   0.0006   0.0001   0.0000   0.0000   0.0000
    8.7500   3.0248   1.0994  -1.1108   2.9090   1.5531   0.9037   0.6153   0.4166   0.3021   0.2490   0.1797   0.0967   0.0389   0.0124   0.0032   0.0007   0.0001   0.0000   0.0000   0.0000
    8.8000   3.0088   1.0854  -1.1194   2.9110   1.5585   0.9092   0.6186   0.4214   0.3033   0.2501   0.1836   0.1011   0.0416   0.0134   0.0036   0.0008   0.0001   0.0000   0.0000   0.0000
    8.8500   2.9929   1.0714  -1.1280   2.9127   1.5637   0.9149   0.6217   0.4262   0.3045   0.2511   0.1874   0.1055   0.0443   0.0146   0.0039   0.0009   0.0002   0.0000   0.0000   0.0000
    8.9000   2.9772   1.0575  -1.1368   2.9141   1.5686   0.9208   0.6246   0.4310   0.3060   0.2519   0.1909   0.1100   0.0472   0.0158   0.0043   0.0010   0.0002   0.0000   0.0000   0.0000
    8.9500   2.9616   1.0436  -1.1456   2.9153   1.5733   0.9269   0.6274   0.4358   0.3076   0.2525   0.1943   0.1145   0.0502   0.0172   0.0048   0.0011   0.0002   0.0000   0.0000   0.0000
    9.0000   2.9462   1.0299  -1.1545   2.9162   1.5778   0.9332   0.6300   0.4406   0.3094   0.2531   0.1974   0.1189   0.0533   0.0186   0.0053   0.0012   0.0003   0.0000   0.0000   0.0000
    9.0500   2.9310   1.0162  -1.1635   2.9169   1.5821   0.9396   0.6325   0.4452   0.3114   0.2536   0.2003   0.1233   0.0564   0.0200   0.0058   0.0014   0.0003   0.0000   0.0000   0.0000
    9.1000   2.9160   1.0027  -1.1725   2.9173   1.5863   0.9461   0.6349   0.4498   0.3135   0.2540   0.2030   0.1277   0.0597   0.0216   0.0063   0.0015   0.0003   0.0001   0.0000   0.0000
    9.1500   2.9011   0.9893  -1.1815   2.9175   1.5904   0.9527   0.6373   0.4543   0.3159   0.2543   0.2055   0.1320   0.0631   0.0233   0.0069   0.0017   0.0004   0.0001   0.0000   0.0000
    9.2000   2.8864   0.9760  -1.1905   2.9175   1.5945   0.9594   0.6397   0.4586   0.3185   0.2546   0.2078   0.1363   0.0666   0.0250   0.0076   0.0019   0.0004   0.0001   0.0000   0.0000
    9.2500   2.8719   0.9629  -1.1995   2.9173   1.5986   0.9660   0.6420   0.4628   0.3213   0.2550   0.2099   0.1405   0.0701   0.0269   0.0083   0.0021   0.0005   0.0001   0.0000   0.0000
    9.3000   2.8576   0.9499  -1.2085   2.9170   1.6026   0.9727   0.6444   0.4668   0.3242   0.2553   0.2117   0.1445   0.0737   0.0288   0.0090   0.0024   0.0005   0.0001   0.0000   0.0000
    9.3500   2.8435   0.9372  -1.2174   2.9165   1.6067   0.9793   0.6468   0.4706   0.3273   0.2556   0.2134   0.1485   0.0774   0.0308   0.0098   0.0026   0.0006   0.0001   0.0000   0.0000
    9.4000   2.8296   0.9246  -1.2262   2.9159   1.6109   0.9859   0.6493   0.4742   0.3306   0.2561   0.2149   0.1523   0.0812   0.0330   0.0107   0.0029   0.0007   0.0001   0.0000   0.0000
    9.4500   2.8158   0.9122  -1.2350   2.9152   1.6152   0.9923   0.6519   0.4776   0.3340   0.2565   0.2162   0.1560   0.0850   0.0352   0.0116   0.0032   0.0007   0.0001   0.0000   0.0000
    9.5000   2.8023   0.8999  -1.2436   2.9144   1.6195   0.9986   0.6546   0.4808   0.3375   0.2571   0.2173   0.1596   0.0888   0.0375   0.0126   0.0035   0.0008   0.0002   0.0000   0.0000
    9.5500   2.7889   0.8879  -1.2521   2.9136   1.6240   1.0048   0.6575   0.4838   0.3412   0.2578   0.2183   0.1630   0.0927   0.0399   0.0137   0.0038   0.0009   0.0002   0.0000   0.0000
    9.6000   2.7757   0.8760  -1.2605   2.9128   1.6286   1.0107   0.6605   0.4866   0.3449   0.2585   0.2191   0.1663   0.0966   0.0425   0.0148   0.0042   0.0010   0.0002   0.0000   0.0000
    9.6500   2.7626   0.8644  -1.2687   2.9120   1.6333   1.0165   0.6637   0.4892   0.3487   0.2594   0.2197   0.1693   0.1005   0.0451   0.0160   0.0046   0.0011   0.0002   0.0000   0.0000
