    711    12   202     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         O              Oxygen phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)  p(l=10)  p(l=11)  p(l=12)  p(l=13)  p(l=14)  p(l=15)  p(l=16)  p(l=17)
        18              lnum
   12.0500   2.4709   1.4393   0.8875   0.5710   0.3772   0.2413   0.1582   0.0981   0.0493   0.0190   0.0057   0.0014   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000
   12.1000   2.4653   1.4370   0.8875   0.5715   0.3785   0.2426   0.1592   0.0994   0.0505   0.0197   0.0060   0.0015   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000
   12.1500   2.4598   1.4346   0.8874   0.5720   0.3798   0.2439   0.1602   0.1007   0.0517   0.0205   0.0063   0.0016   0.0003   0.0001   0.0000   0.0000   0.0000   0.0000
   12.2000   2.4543   1.4323   0.8873   0.5725   0.3810   0.2452   0.1611   0.1019   0.0530   0.0212   0.0066   0.0016   0.0003   0.0001   0.0000   0.0000   0.0000   0.0000
   12.2500   2.4489   1.4301   0.8871   0.5731   0.3822   0.2465   0.1621   0.1032   0.0542   0.0220   0.0069   0.0017   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000
   12.3000   2.4435   1.4278   0.8870   0.5736   0.3834   0.2479   0.1630   0.1044   0.0555   0.0228   0.0073   0.0019   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000
   12.3500   2.4381   1.4256   0.8868   0.5741   0.3845   0.2492   0.1640   0.1056   0.0567   0.0236   0.0076   0.0020   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000
   12.4000   2.4327   1.4234   0.8866   0.5746   0.3856   0.2505   0.1649   0.1068   0.0580   0.0244   0.0080   0.0021   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000
   12.4500   2.4274   1.4212   0.8864   0.5752   0.3867   0.2519   0.1659   0.1079   0.0592   0.0252   0.0083   0.0022   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000
   12.5000   2.4221   1.4190   0.8862   0.5757   0.3878   0.2532   0.1668   0.1090   0.0605   0.0261   0.0087   0.0023   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000
   12.5500   2.4168   1.4169   0.8859   0.5762   0.3888   0.2546   0.1677   0.1101   0.0617   0.0269   0.0091   0.0025   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000
   12.6000   2.4116   1.4148   0.8857   0.5768   0.3898   0.2559   0.1686   0.1112   0.0629   0.0278   0.0095   0.0026   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000
   12.6500   2.4064   1.4127   0.8853   0.5773   0.3907   0.2573   0.1696   0.1123   0.0642   0.0287   0.0100   0.0027   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000
   12.7000   2.4012   1.4106   0.8850   0.5779   0.3917   0.2586   0.1705   0.1133   0.0654   0.0296   0.0104   0.0029   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000
   12.7500   2.3961   1.4086   0.8847   0.5785   0.3926   0.2600   0.1714   0.1143   0.0666   0.0305   0.0108   0.0031   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000
   12.8000   2.3910   1.4065   0.8843   0.5790   0.3934   0.2613   0.1724   0.1153   0.0678   0.0314   0.0113   0.0032   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000
   12.8500   2.3859   1.4045   0.8839   0.5796   0.3943   0.2626   0.1733   0.1163   0.0690   0.0324   0.0118   0.0034   0.0008   0.0002   0.0000   0.0000   0.0000   0.0000
   12.9000   2.3809   1.4025   0.8835   0.5802   0.3951   0.2640   0.1742   0.1172   0.0702   0.0333   0.0123   0.0036   0.0008   0.0002   0.0000   0.0000   0.0000   0.0000
   12.9500   2.3759   1.4005   0.8831   0.5808   0.3959   0.2653   0.1752   0.1181   0.0714   0.0343   0.0128   0.0038   0.0009   0.0002   0.0000   0.0000   0.0000   0.0000
   13.0000   2.3710   1.3985   0.8826   0.5814   0.3967   0.2666   0.1761   0.1190   0.0725   0.0352   0.0133   0.0040   0.0010   0.0002   0.0000   0.0000   0.0000   0.0000
   13.0500   2.3661   1.3966   0.8821   0.5820   0.3974   0.2679   0.1771   0.1199   0.0737   0.0362   0.0138   0.0042   0.0010   0.0002   0.0000   0.0000   0.0000   0.0000
   13.1000   2.3612   1.3946   0.8816   0.5826   0.3982   0.2692   0.1780   0.1208   0.0748   0.0372   0.0143   0.0044   0.0011   0.0002   0.0000   0.0000   0.0000   0.0000
   13.1500   2.3564   1.3927   0.8811   0.5832   0.3989   0.2705   0.1790   0.1217   0.0760   0.0382   0.0149   0.0046   0.0011   0.0002   0.0000   0.0000   0.0000   0.0000
   13.2000   2.3515   1.3907   0.8806   0.5838   0.3996   0.2717   0.1800   0.1225   0.0771   0.0391   0.0155   0.0048   0.0012   0.0003   0.0000   0.0000   0.0000   0.0000
   13.2500   2.3468   1.3888   0.8801   0.5844   0.4002   0.2730   0.1810   0.1233   0.0782   0.0401   0.0160   0.0051   0.0013   0.0003   0.0000   0.0000   0.0000   0.0000
   13.3000   2.3420   1.3869   0.8795   0.5851   0.4009   0.2742   0.1820   0.1241   0.0792   0.0412   0.0166   0.0053   0.0014   0.0003   0.0001   0.0000   0.0000   0.0000
   13.3500   2.3373   1.3850   0.8790   0.5857   0.4016   0.2754   0.1830   0.1249   0.0803   0.0422   0.0173   0.0056   0.0014   0.0003   0.0001   0.0000   0.0000   0.0000
   13.4000   2.3326   1.3831   0.8784   0.5863   0.4022   0.2766   0.1840   0.1257   0.0813   0.0432   0.0179   0.0058   0.0015   0.0003   0.0001   0.0000   0.0000   0.0000
   13.4500   2.3280   1.3811   0.8779   0.5869   0.4028   0.2778   0.1850   0.1265   0.0824   0.0442   0.0185   0.0061   0.0016   0.0004   0.0001   0.0000   0.0000   0.0000
   13.5000   2.3234   1.3792   0.8773   0.5875   0.4035   0.2789   0.1860   0.1273   0.0834   0.0452   0.0192   0.0064   0.0017   0.0004   0.0001   0.0000   0.0000   0.0000
   13.5500   2.3188   1.3773   0.8767   0.5881   0.4041   0.2801   0.1871   0.1280   0.0844   0.0462   0.0198   0.0067   0.0018   0.0004   0.0001   0.0000   0.0000   0.0000
   13.6000   2.3143   1.3754   0.8761   0.5886   0.4047   0.2812   0.1881   0.1288   0.0853   0.0473   0.0205   0.0070   0.0019   0.0004   0.0001   0.0000   0.0000   0.0000
   13.6500   2.3097   1.3735   0.8755   0.5892   0.4053   0.2823   0.1892   0.1295   0.0863   0.0483   0.0212   0.0073   0.0020   0.0005   0.0001   0.0000   0.0000   0.0000
   13.7000   2.3052   1.3716   0.8749   0.5898   0.4059   0.2833   0.1902   0.1303   0.0872   0.0493   0.0219   0.0076   0.0021   0.0005   0.0001   0.0000   0.0000   0.0000
   13.7500   2.3008   1.3697   0.8743   0.5904   0.4065   0.2844   0.1913   0.1310   0.0882   0.0503   0.0226   0.0080   0.0023   0.0005   0.0001   0.0000   0.0000   0.0000
   13.8000   2.2963   1.3678   0.8737   0.5909   0.4071   0.2854   0.1923   0.1317   0.0891   0.0513   0.0233   0.0083   0.0024   0.0006   0.0001   0.0000   0.0000   0.0000
   13.8500   2.2919   1.3658   0.8731   0.5914   0.4077   0.2864   0.1934   0.1325   0.0900   0.0523   0.0240   0.0087   0.0025   0.0006   0.0001   0.0000   0.0000   0.0000
   13.9000   2.2875   1.3639   0.8725   0.5920   0.4083   0.2874   0.1945   0.1332   0.0908   0.0533   0.0248   0.0090   0.0026   0.0006   0.0001   0.0000   0.0000   0.0000
   13.9500   2.2832   1.3620   0.8719   0.5925   0.4089   0.2883   0.1956   0.1339   0.0917   0.0543   0.0255   0.0094   0.0028   0.0007   0.0001   0.0000   0.0000   0.0000
   14.0000   2.2788   1.3600   0.8713   0.5929   0.4095   0.2893   0.1967   0.1346   0.0925   0.0553   0.0263   0.0098   0.0029   0.0007   0.0001   0.0000   0.0000   0.0000
   14.0500   2.2745   1.3581   0.8708   0.5934   0.4101   0.2902   0.1978   0.1354   0.0933   0.0563   0.0270   0.0102   0.0031   0.0008   0.0002   0.0000   0.0000   0.0000
   14.1000   2.2702   1.3561   0.8702   0.5939   0.4107   0.2911   0.1989   0.1361   0.0941   0.0573   0.0278   0.0106   0.0032   0.0008   0.0002   0.0000   0.0000   0.0000
   14.1500   2.2659   1.3542   0.8696   0.5943   0.4113   0.2919   0.2000   0.1368   0.0949   0.0583   0.0286   0.0110   0.0034   0.0009   0.0002   0.0000   0.0000   0.0000
   14.2000   2.2617   1.3522   0.8691   0.5947   0.4119   0.2928   0.2011   0.1376   0.0957   0.0593   0.0294   0.0115   0.0036   0.0009   0.0002   0.0000   0.0000   0.0000
   14.2500   2.2574   1.3502   0.8685   0.5951   0.4126   0.2936   0.2022   0.1383   0.0964   0.0602   0.0302   0.0119   0.0038   0.0010   0.0002   0.0000   0.0000   0.0000
   14.3000   2.2532   1.3482   0.8680   0.5955   0.4132   0.2944   0.2032   0.1390   0.0971   0.0612   0.0310   0.0124   0.0039   0.0010   0.0002   0.0000   0.0000   0.0000
   14.3500   2.2490   1.3462   0.8675   0.5959   0.4138   0.2951   0.2043   0.1398   0.0979   0.0621   0.0318   0.0128   0.0041   0.0011   0.0002   0.0000   0.0000   0.0000
   14.4000   2.2448   1.3443   0.8669   0.5962   0.4145   0.2959   0.2054   0.1405   0.0986   0.0630   0.0327   0.0133   0.0043   0.0011   0.0003   0.0000   0.0000   0.0000
   14.4500   2.2406   1.3423   0.8664   0.5965   0.4151   0.2966   0.2065   0.1413   0.0993   0.0639   0.0335   0.0138   0.0045   0.0012   0.0003   0.0001   0.0000   0.0000
   14.5000   2.2364   1.3403   0.8659   0.5968   0.4158   0.2973   0.2076   0.1421   0.0999   0.0649   0.0343   0.0143   0.0047   0.0013   0.0003   0.0001   0.0000   0.0000
   14.5500   2.2322   1.3383   0.8654   0.5971   0.4164   0.2980   0.2086   0.1428   0.1006   0.0657   0.0352   0.0148   0.0050   0.0014   0.0003   0.0001   0.0000   0.0000
   14.6000   2.2281   1.3362   0.8650   0.5974   0.4171   0.2987   0.2097   0.1436   0.1013   0.0666   0.0360   0.0153   0.0052   0.0014   0.0003   0.0001   0.0000   0.0000
   14.6500   2.2239   1.3342   0.8645   0.5976   0.4178   0.2994   0.2107   0.1444   0.1019   0.0675   0.0368   0.0159   0.0054   0.0015   0.0004   0.0001   0.0000   0.0000
