    721    14   256     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

        Fe 2p           Silver radial matrix data

        binding energy =  685.175 eV

            k     R(li+1)    phase(li+1)     R(li-1)    phase(li-1)
      16.2000    0.20752E-01      2.4572    0.56381E-02     -1.1019
      16.2500    0.20638E-01      2.4550    0.56130E-02     -1.1087
      16.3000    0.20524E-01      2.4527    0.55880E-02     -1.1154
      16.3500    0.20411E-01      2.4504    0.55630E-02     -1.1221
      16.4000    0.20298E-01      2.4482    0.55381E-02     -1.1288
      16.4500    0.20186E-01      2.4459    0.55133E-02     -1.1355
      16.5000    0.20074E-01      2.4437    0.54884E-02     -1.1421
      16.5500    0.19963E-01      2.4414    0.54637E-02     -1.1487
      16.6000    0.19852E-01      2.4391    0.54390E-02     -1.1553
      16.6500    0.19741E-01      2.4369    0.54144E-02     -1.1619
      16.7000    0.19632E-01      2.4346    0.53898E-02     -1.1685
      16.7500    0.19522E-01      2.4323    0.53653E-02     -1.1750
      16.8000    0.19414E-01      2.4301    0.53409E-02     -1.1815
      16.8500    0.19305E-01      2.4278    0.53165E-02     -1.1880
      16.9000    0.19198E-01      2.4255    0.52922E-02     -1.1945
      16.9500    0.19091E-01      2.4233    0.52680E-02     -1.2010
      17.0000    0.18985E-01      2.4210    0.52438E-02     -1.2075
      17.0500    0.18879E-01      2.4187    0.52198E-02     -1.2139
      17.1000    0.18774E-01      2.4164    0.51958E-02     -1.2203
      17.1500    0.18669E-01      2.4142    0.51718E-02     -1.2267
      17.2000    0.18566E-01      2.4119    0.51480E-02     -1.2331
      17.2500    0.18462E-01      2.4096    0.51243E-02     -1.2395
      17.3000    0.18360E-01      2.4073    0.51007E-02     -1.2459
      17.3500    0.18258E-01      2.4051    0.50771E-02     -1.2523
      17.4000    0.18157E-01      2.4028    0.50537E-02     -1.2586
      17.4500    0.18056E-01      2.4006    0.50304E-02     -1.2650
      17.5000    0.17956E-01      2.3983    0.50071E-02     -1.2713
      17.5500    0.17857E-01      2.3961    0.49840E-02     -1.2776
      17.6000    0.17759E-01      2.3938    0.49610E-02     -1.2839
      17.6500    0.17660E-01      2.3916    0.49381E-02     -1.2902
      17.7000    0.17563E-01      2.3894    0.49154E-02     -1.2964
      17.7500    0.17466E-01      2.3872    0.48927E-02     -1.3027
